Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
PJM.METED_month_on_dap - NODAL EXCHANGE,240227,2024-02-27,064EOW,NODX,1,64,14835,12360,8435,120,2985,359,0,920,0,325,1315,250,13414,14264,1421,571,14835,12360,8435,120,2985,359,0,920,0,325,1315,250,13414,14264,1421,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     120,     120,       0,    -120,       0,     120,       0,       0,       0,       0,       0,       0,     120,     120,       0,       0,100.0,83.3,56.9,0.8,20.1,2.4,0.0,6.2,0.0,2.2,8.9,1.7,90.4,96.2,9.6,3.8,100.0,83.3,56.9,0.8,20.1,2.4,0.0,6.2,0.0,2.2,8.9,1.7,90.4,96.2,9.6,3.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,.,.,.,.,      0,.,      0,.,.,.,15,     11,21,      9,.,.,.,.,      0,.,      0,.,.,.,15,     11,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,66.9,67.9,81.1,91.2,60.8,67.3,75.1,85.5,66.9,67.9,81.1,91.2,60.8,67.3,75.1,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOW,NODX,64,N16,FutOnly
PJM.METED_month_on_dap - NODAL EXCHANGE,240220,2024-02-20,064EOW,NODX,1,64,14715,12240,8435,240,2985,239,0,920,0,325,1315,250,13294,14144,1421,571,14715,12240,8435,240,2985,239,0,920,0,325,1315,250,13294,14144,1421,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,100.0,83.2,57.3,1.6,20.3,1.6,0.0,6.3,0.0,2.2,8.9,1.7,90.3,96.1,9.7,3.9,100.0,83.2,57.3,1.6,20.3,1.6,0.0,6.3,0.0,2.2,8.9,1.7,90.3,96.1,9.7,3.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,.,.,.,.,      0,.,      0,.,.,.,15,     11,21,      9,.,.,.,.,      0,.,      0,.,.,.,15,     11,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,66.6,68.5,81.0,92.0,60.5,67.8,74.9,86.2,66.6,68.5,81.0,92.0,60.5,67.8,74.9,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOW,NODX,64,N16,FutOnly
PJM.METED_month_on_dap - NODAL EXCHANGE,240213,2024-02-13,064EOW,NODX,1,64,14715,12240,8435,240,2985,239,0,920,0,325,1315,250,13294,14144,1421,571,14715,12240,8435,240,2985,239,0,920,0,325,1315,250,13294,14144,1421,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     300,     300,       0,       0,       0,       0,       0,       0,       0,       0,     300,       0,     300,     300,       0,       0,100.0,83.2,57.3,1.6,20.3,1.6,0.0,6.3,0.0,2.2,8.9,1.7,90.3,96.1,9.7,3.9,100.0,83.2,57.3,1.6,20.3,1.6,0.0,6.3,0.0,2.2,8.9,1.7,90.3,96.1,9.7,3.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,.,.,.,.,      0,.,      0,.,.,.,15,     11,21,      9,.,.,.,.,      0,.,      0,.,.,.,15,     11,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,66.6,68.5,81.0,92.0,60.5,67.8,74.9,86.2,66.6,68.5,81.0,92.0,60.5,67.8,74.9,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOW,NODX,64,N16,FutOnly
PJM.METED_month_on_dap - NODAL EXCHANGE,240206,2024-02-06,064EOW,NODX,1,64,14415,11940,8435,240,2985,239,0,920,0,325,1015,250,12994,13844,1421,571,14415,11940,8435,240,2985,239,0,920,0,325,1015,250,12994,13844,1421,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    -546,    -405,    -315,     -40,     -98,     -25,       0,      -5,       0,     -25,    -100,       0,    -495,    -543,     -51,      -3,100.0,82.8,58.5,1.7,20.7,1.7,0.0,6.4,0.0,2.3,7.0,1.7,90.1,96.0,9.9,4.0,100.0,82.8,58.5,1.7,20.7,1.7,0.0,6.4,0.0,2.3,7.0,1.7,90.1,96.0,9.9,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,.,.,.,.,      0,.,      0,.,.,.,15,     11,21,      9,.,.,.,.,      0,.,      0,.,.,.,15,     11,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,66.3,69.1,80.6,91.8,60.0,68.4,74.4,86.0,66.3,69.1,80.6,91.8,60.0,68.4,74.4,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOW,NODX,64,N16,FutOnly
PJM.METED_month_on_dap - NODAL EXCHANGE,240130,2024-01-30,064EOW,NODX,1,64,14961,12345,8750,280,3083,264,0,925,0,350,1115,250,13489,14387,1472,574,14961,12345,8750,280,3083,264,0,925,0,350,1115,250,13489,14387,1472,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     145,     140,     -30,       0,       0,       0,       0,       0,       0,       0,     170,       0,     140,     140,       5,       5,100.0,82.5,58.5,1.9,20.6,1.8,0.0,6.2,0.0,2.3,7.5,1.7,90.2,96.2,9.8,3.8,100.0,82.5,58.5,1.9,20.6,1.8,0.0,6.2,0.0,2.3,7.5,1.7,90.2,96.2,9.8,3.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,      4,.,.,.,      0,.,      0,.,.,.,15,     12,21,      9,      4,.,.,.,      0,.,      0,.,.,.,15,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,65.8,68.6,80.3,91.4,59.8,67.8,74.3,85.9,65.8,68.6,80.3,91.4,59.8,67.8,74.3,85.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOW,NODX,64,N16,FutOnly
PJM.METED_month_on_dap - NODAL EXCHANGE,240123,2024-01-23,064EOW,NODX,1,64,14816,12205,8780,280,3083,264,0,925,0,350,945,250,13349,14247,1467,569,14816,12205,8780,280,3083,264,0,925,0,350,945,250,13349,14247,1467,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,100.0,82.4,59.3,1.9,20.8,1.8,0.0,6.2,0.0,2.4,6.4,1.7,90.1,96.2,9.9,3.8,100.0,82.4,59.3,1.9,20.8,1.8,0.0,6.2,0.0,2.4,6.4,1.7,90.1,96.2,9.9,3.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,      4,.,.,.,      0,.,      0,.,.,.,15,     12,21,      9,      4,.,.,.,      0,.,      0,.,.,.,15,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,65.6,69.3,80.2,91.1,59.6,68.5,73.9,85.6,65.6,69.3,80.2,91.1,59.6,68.5,73.9,85.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOW,NODX,64,N16,FutOnly
PJM.METED_month_on_dap - NODAL EXCHANGE,240116,2024-01-16,064EOW,NODX,1,64,14816,12205,8780,280,3083,264,0,925,0,350,945,250,13349,14247,1467,569,14816,12205,8780,280,3083,264,0,925,0,350,945,250,13349,14247,1467,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    -175,    -170,      -5,       0,    -240,      49,       0,       0,       0,       0,      75,       0,    -121,    -121,     -54,     -54,100.0,82.4,59.3,1.9,20.8,1.8,0.0,6.2,0.0,2.4,6.4,1.7,90.1,96.2,9.9,3.8,100.0,82.4,59.3,1.9,20.8,1.8,0.0,6.2,0.0,2.4,6.4,1.7,90.1,96.2,9.9,3.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,      4,.,.,.,      0,.,      0,.,.,.,15,     12,21,      9,      4,.,.,.,      0,.,      0,.,.,.,15,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,65.6,69.3,80.2,91.1,59.6,68.5,73.9,85.6,65.6,69.3,80.2,91.1,59.6,68.5,73.9,85.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOW,NODX,64,N16,FutOnly
PJM.METED_month_on_dap - NODAL EXCHANGE,240109,2024-01-09,064EOW,NODX,1,64,14991,12375,8785,280,3323,215,0,925,0,350,870,250,13470,14368,1521,623,14991,12375,8785,280,3323,215,0,925,0,350,870,250,13470,14368,1521,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    -415,    -585,    -275,    -105,     117,     -74,     -25,     -25,       0,     300,    -250,       0,    -489,    -507,      74,      92,100.0,82.5,58.6,1.9,22.2,1.4,0.0,6.2,0.0,2.3,5.8,1.7,89.9,95.8,10.1,4.2,100.0,82.5,58.6,1.9,22.2,1.4,0.0,6.2,0.0,2.3,5.8,1.7,89.9,95.8,10.1,4.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,      4,.,.,.,      0,.,      0,.,.,.,14,     12,21,      9,      4,.,.,.,      0,.,      0,.,.,.,14,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,66.4,69.5,80.8,90.8,60.5,68.6,74.5,85.7,66.4,69.5,80.8,90.8,60.5,68.6,74.5,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOW,NODX,64,N16,FutOnly
PJM.METED_month_on_dap - NODAL EXCHANGE,240102,2024-01-02,064EOW,NODX,1,64,15406,12960,9060,385,3206,289,25,950,0,50,1120,250,13959,14875,1447,531,15406,12960,9060,385,3206,289,25,950,0,50,1120,250,13959,14875,1447,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    -480,    -440,    -540,       0,       0,       0,       0,       0,       0,       0,     100,     -40,    -480,    -480,       0,       0,100.0,84.1,58.8,2.5,20.8,1.9,0.2,6.2,0.0,0.3,7.3,1.6,90.6,96.6,9.4,3.4,100.0,84.1,58.8,2.5,20.8,1.9,0.2,6.2,0.0,0.3,7.3,1.6,90.6,96.6,9.4,3.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,      9,      5,.,.,.,.,.,      0,.,.,.,16,     13,23,      9,      5,.,.,.,.,.,      0,.,.,.,16,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,66.6,67.8,82.0,90.6,60.3,66.7,75.4,84.9,66.6,67.8,82.0,90.6,60.3,66.7,75.4,84.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOW,NODX,64,N16,FutOnly
PJM.METED_month_off_dap - NODAL EXCHANGE,240305,2024-03-05,064EOX,NODX,1,64,14787,12560,8110,80,3537,255,0,965,0,300,1140,250,13445,14257,1342,530,14787,12560,8110,80,3537,255,0,965,0,300,1140,250,13445,14257,1342,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     -18,     130,    -290,     -60,     477,     -25,       0,      -5,       0,     -25,    -175,       0,      20,     -18,     -38,       0,100.0,84.9,54.8,0.5,23.9,1.7,0.0,6.5,0.0,2.0,7.7,1.7,90.9,96.4,9.1,3.6,100.0,84.9,54.8,0.5,23.9,1.7,0.0,6.5,0.0,2.0,7.7,1.7,90.9,96.4,9.1,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,      4,.,.,.,      0,.,      0,.,.,.,13,     13,21,      9,      4,.,.,.,      0,.,      0,.,.,.,13,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,70.7,69.6,83.0,91.9,64.9,69.1,77.1,86.6,70.7,69.6,83.0,91.9,64.9,69.1,77.1,86.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOX,NODX,64,N16,FutOnly
PJM.METED_month_off_dap - NODAL EXCHANGE,240227,2024-02-27,064EOX,NODX,1,64,14805,12430,8400,140,3060,280,0,970,0,325,1315,250,13425,14275,1380,530,14805,12430,8400,140,3060,280,0,970,0,325,1315,250,13425,14275,1380,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     120,     120,       0,    -120,       0,     120,       0,       0,       0,       0,       0,       0,     120,     120,       0,       0,100.0,84.0,56.7,0.9,20.7,1.9,0.0,6.6,0.0,2.2,8.9,1.7,90.7,96.4,9.3,3.6,100.0,84.0,56.7,0.9,20.7,1.9,0.0,6.6,0.0,2.2,8.9,1.7,90.7,96.4,9.3,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,      9,.,.,.,.,      0,.,      0,.,.,.,14,     12,22,      9,.,.,.,.,      0,.,      0,.,.,.,14,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,67.9,68.1,81.8,91.4,62.0,67.4,76.0,86.2,67.9,68.1,81.8,91.4,62.0,67.4,76.0,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOX,NODX,64,N16,FutOnly
PJM.METED_month_off_dap - NODAL EXCHANGE,240220,2024-02-20,064EOX,NODX,1,64,14685,12310,8400,260,3060,160,0,970,0,325,1315,250,13305,14155,1380,530,14685,12310,8400,260,3060,160,0,970,0,325,1315,250,13305,14155,1380,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      50,      50,       0,       0,       0,       0,       0,      50,       0,       0,       0,       0,      50,      50,       0,       0,100.0,83.8,57.2,1.8,20.8,1.1,0.0,6.6,0.0,2.2,9.0,1.7,90.6,96.4,9.4,3.6,100.0,83.8,57.2,1.8,20.8,1.1,0.0,6.6,0.0,2.2,9.0,1.7,90.6,96.4,9.4,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,      9,.,.,.,.,      0,.,      0,.,.,.,14,     12,22,      9,.,.,.,.,      0,.,      0,.,.,.,14,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,67.6,68.6,81.6,92.1,61.7,68.0,75.8,86.9,67.6,68.6,81.6,92.1,61.7,68.0,75.8,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOX,NODX,64,N16,FutOnly
PJM.METED_month_off_dap - NODAL EXCHANGE,240213,2024-02-13,064EOX,NODX,1,64,14635,12260,8400,260,3060,160,0,920,0,325,1315,250,13255,14105,1380,530,14635,12260,8400,260,3060,160,0,920,0,325,1315,250,13255,14105,1380,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     300,     300,       0,       0,       0,       0,       0,       0,       0,       0,     300,       0,     300,     300,       0,       0,100.0,83.8,57.4,1.8,20.9,1.1,0.0,6.3,0.0,2.2,9.0,1.7,90.6,96.4,9.4,3.6,100.0,83.8,57.4,1.8,20.9,1.1,0.0,6.3,0.0,2.2,9.0,1.7,90.6,96.4,9.4,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,.,.,.,.,      0,.,      0,.,.,.,14,     11,21,      9,.,.,.,.,      0,.,      0,.,.,.,14,     11,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,67.5,68.9,81.6,92.4,61.6,68.2,75.7,87.2,67.5,68.9,81.6,92.4,61.6,68.2,75.7,87.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOX,NODX,64,N16,FutOnly
PJM.METED_month_off_dap - NODAL EXCHANGE,240206,2024-02-06,064EOX,NODX,1,64,14335,11960,8400,260,3060,160,0,920,0,325,1015,250,12955,13805,1380,530,14335,11960,8400,260,3060,160,0,920,0,325,1015,250,12955,13805,1380,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    -563,    -415,    -320,     -60,    -123,     -25,       0,      -5,       0,     -25,    -100,       0,    -525,    -573,     -38,      10,100.0,83.4,58.6,1.8,21.3,1.1,0.0,6.4,0.0,2.3,7.1,1.7,90.4,96.3,9.6,3.7,100.0,83.4,58.6,1.8,21.3,1.1,0.0,6.4,0.0,2.3,7.1,1.7,90.4,96.3,9.6,3.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,.,.,.,.,      0,.,      0,.,.,.,14,     11,21,      9,.,.,.,.,      0,.,      0,.,.,.,14,     11,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,67.2,69.5,81.2,92.3,61.2,68.8,75.2,87.0,67.2,69.5,81.2,92.3,61.2,68.8,75.2,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOX,NODX,64,N16,FutOnly
PJM.METED_month_off_dap - NODAL EXCHANGE,240130,2024-01-30,064EOX,NODX,1,64,14898,12375,8720,320,3183,185,0,925,0,350,1115,250,13480,14378,1418,520,14898,12375,8720,320,3183,185,0,925,0,350,1115,250,13480,14378,1418,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     145,     135,     -35,       0,       0,       0,       0,       0,       0,       0,     170,       0,     135,     135,      10,      10,100.0,83.1,58.5,2.1,21.4,1.2,0.0,6.2,0.0,2.3,7.5,1.7,90.5,96.5,9.5,3.5,100.0,83.1,58.5,2.1,21.4,1.2,0.0,6.2,0.0,2.3,7.5,1.7,90.5,96.5,9.5,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,      4,.,.,.,      0,.,      0,.,.,.,14,     12,21,      9,      4,.,.,.,      0,.,      0,.,.,.,14,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,66.6,69.5,81.1,91.9,60.9,68.7,75.1,86.9,66.6,69.5,81.1,91.9,60.9,68.7,75.1,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOX,NODX,64,N16,FutOnly
PJM.METED_month_off_dap - NODAL EXCHANGE,240123,2024-01-23,064EOX,NODX,1,64,14753,12240,8755,320,3183,185,0,925,0,350,945,250,13345,14243,1408,510,14753,12240,8755,320,3183,185,0,925,0,350,945,250,13345,14243,1408,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,100.0,83.0,59.3,2.2,21.6,1.3,0.0,6.3,0.0,2.4,6.4,1.7,90.5,96.5,9.5,3.5,100.0,83.0,59.3,2.2,21.6,1.3,0.0,6.3,0.0,2.4,6.4,1.7,90.5,96.5,9.5,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,      9,      4,.,.,.,      0,.,      0,.,.,.,14,     12,21,      9,      4,.,.,.,      0,.,      0,.,.,.,14,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,66.5,70.2,81.1,91.6,60.6,69.3,74.9,86.6,66.5,70.2,81.1,91.6,60.6,69.3,74.9,86.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megawatt Hours (MWh),064EOX,NODX,64,N16,FutOnly
